"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.1,20,20,0.2,"Bias",-0.01189,-0.00271,-0.00415,-0.00158,-0.00207,-0.00151,0.00093,-0.10349,-0.10834,-0.10464
0.1,20,20,0.2,"Var",5.11763,5.9421,5.75966,5.80571,7.3065,7.24429,6.67999,5.43733,5.41841,5.43171
0.1,20,20,0.2,"MSE",1.65408,1.07814,1.07733,1.07732,2.01872,1.98116,1.88861,1.20325,1.19288,1.20146
0.1,20,20,0.8,"Bias",0.00616,-0.00791,-0.02842,0.00158,-0.00004,-0.00258,-0.00299,-0.04348,-0.0432,-0.04352
0.1,20,20,0.8,"Var",32.60285,31.83855,30.55209,31.43699,34.97349,34.34976,34.1087,32.72801,32.73952,32.72902
0.1,20,20,0.8,"MSE",1.13982,1.11322,1.12796,1.11476,2.21454,1.75281,1.63932,1.13317,1.13452,1.13298
0.1,20,30,0.2,"Bias",0.00715,-0.00236,-0.00272,-0.00206,0.00005,-0.00065,0.01448,0.00359,-0.05817,-0.00061
0.1,20,30,0.2,"Var",4.25418,5.41294,5.29878,5.31486,6.78628,6.72323,5.49214,4.80516,4.79767,4.79821
0.1,20,30,0.2,"MSE",1.55108,1.04996,1.04854,1.04861,2.02251,1.98509,2.03939,1.15647,1.13428,1.15415
0.1,20,30,0.8,"Bias",0.01509,-0.00641,-0.01678,0.00083,-0.00036,0.00212,0.02207,-0.01504,-0.01956,-0.01509
0.1,20,30,0.8,"Var",23.36081,22.95514,22.37206,22.66573,25.82684,25.51485,24.46524,23.41739,23.4291,23.41726
0.1,20,30,0.8,"MSE",1.12254,1.07245,1.07368,1.07209,2.05071,1.83941,1.36987,1.11286,1.11132,1.11274
0.1,100,5,0.2,"Bias",-0.05713,0.02707,0.02724,0.02693,0.00477,0.00552,0.00535,-0.00611,-0.00922,-0.00597
0.1,100,5,0.2,"Var",4.30837,5.11531,4.61312,4.62671,6.36336,6.37826,6.37897,4.35829,4.40867,4.35939
0.1,100,5,0.2,"MSE",1.68844,1.29379,1.23562,1.23616,2.02142,2.04173,2.04271,1.65775,1.60095,1.65646
0.1,100,5,0.8,"Bias",-0.01053,0.02317,0.02,0.02495,-0.00018,0.02532,0.02522,-0.01267,-0.0121,-0.01267
0.1,100,5,0.8,"Var",23.62372,23.12443,21.94125,22.73472,27.73757,26.44503,26.85072,23.62094,23.65729,23.62094
0.1,100,5,0.8,"MSE",1.15757,1.29683,1.30354,1.29647,3.99621,3.56162,3.96406,1.15422,1.15678,1.15422
0.1,100,10,0.2,"Bias",-0.02403,0.00162,0.00125,0.00196,-0.00186,-0.00231,-0.00237,-0.01358,-0.01251,-0.01383
0.1,100,10,0.2,"Var",5.31782,6.05514,5.70582,5.72436,7.43481,7.41099,7.41077,5.81767,5.68142,5.81146
